
========== Nova Sessao ==========
Data/Hora: Fri Feb 13 23:39:22 2026
===================================

[23:39:47] Pacote #382: 66 bytes capturados, 66 bytes no fio
[23:39:47] Pacote #383: 66 bytes capturados, 66 bytes no fio
[23:39:47] Pacote #384: 153 bytes capturados, 153 bytes no fio
[23:39:47] Pacote #385: 66 bytes capturados, 66 bytes no fio
[23:39:47] Pacote #386: 383 bytes capturados, 383 bytes no fio
[23:39:47] Pacote #387: 1506 bytes capturados, 1506 bytes no fio
[23:39:47] Pacote #388: 661 bytes capturados, 661 bytes no fio
[23:39:47] Pacote #389: 66 bytes capturados, 66 bytes no fio
[23:39:47] Pacote #390: 66 bytes capturados, 66 bytes no fio
[23:39:47] Pacote #391: 66 bytes capturados, 66 bytes no fio
[23:39:47] Pacote #392: 395 bytes capturados, 395 bytes no fio
[23:39:47] Pacote #393: 415 bytes capturados, 415 bytes no fio
[23:39:47] Pacote #394: 77 bytes capturados, 77 bytes no fio
[23:39:47] Pacote #395: 66 bytes capturados, 66 bytes no fio
[23:39:47] Pacote #396: 502 bytes capturados, 502 bytes no fio
[23:39:47] Pacote #397: 395 bytes capturados, 395 bytes no fio
[23:39:47] Pacote #398: 415 bytes capturados, 415 bytes no fio
[23:39:47] Pacote #399: 66 bytes capturados, 66 bytes no fio
[23:39:49] Pacote #400: 94 bytes capturados, 94 bytes no fio
